model_name,metrics_path,output_dir,dataset_dir,created_at,row_count,train_rows,test_rows,epochs,batch_size,hidden,purpose,input_policy,test_accuracy,test_precision,test_recall,test_f1,top1_hit_rate,top3_hit_rate,top1_safe_rate,top3_safe_rate,top1_success_rate,top3_success_rate
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_learning_dataset,2026-06-24T08:12:34,6498,5568,930,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7602150537634409,0.08482142857142858,0.5135135135135135,0.14559386973180077,0.15151515151515152,0.36363636363636365,,,,
20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_pose_ranker_structure,,2026-06-24T08:13:25,2609,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c15_flywheel_3to4_wall_state_critic,,2026-06-24T08:13:43,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_learning_dataset,2026-06-24T13:43:44,6498,5586,912,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.5942982456140351,0.09562841530054644,0.47297297297297297,0.1590909090909091,0.2857142857142857,0.35714285714285715,,,,
20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_pose_ranker_structure,,2026-06-24T13:44:53,2644,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c16_flywheel_3to4_wall_state_critic,,2026-06-24T13:45:18,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_152924,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_152924\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_152924,,2026-06-24T15:29:27,22,,,1,96,224,,,,,,,,,,,,
20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_190945,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_190945\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260624_merged_c12_c16_supportmap_drift_guarded_train_20260624_190945,,2026-06-24T19:15:38,14170,,,110,96,224,,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_learning_dataset,2026-06-24T20:35:47,6498,5808,690,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.6275362318840579,0.08949416342412451,0.5,0.15181518151815182,0.32558139534883723,0.4186046511627907,,,,
20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_pose_ranker_structure,,2026-06-24T20:36:44,2614,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c17_flywheel_3to4_wall_state_critic,,2026-06-24T20:37:03,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_learning_dataset,2026-06-25T01:53:46,6498,5568,930,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.6645161290322581,0.0761904761904762,0.5333333333333333,0.13333333333333333,0.0975609756097561,0.34146341463414637,,,,
20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_pose_ranker_structure,,2026-06-25T01:54:39,2599,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c18_flywheel_3to4_wall_state_critic,,2026-06-25T01:55:00,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_learning_dataset,2026-06-25T07:05:16,6498,4050,2448,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7148692810457516,0.09442724458204334,0.3505747126436782,0.14878048780487804,0.2727272727272727,0.4090909090909091,,,,
20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_pose_ranker_structure,,2026-06-25T07:06:20,2649,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c19_flywheel_3to4_wall_state_critic,,2026-06-25T07:06:42,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
20260625_supportmap_c17_c19_multi_tensor_smoke,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_smoke\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_smoke,,2026-06-25T09:08:07,7862,,,1,96,192,,,,,,,,,,,,
20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c17_c19_multi_tensor_drift_guarded_train,,2026-06-25T09:12:29,7862,,,90,96,224,,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_learning_dataset,2026-06-25T13:29:15,6498,5874,624,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.8461538461538461,0.18085106382978725,0.4722222222222222,0.26153846153846155,0.3870967741935484,0.5483870967741935,,,,
20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_pose_ranker_structure,,2026-06-25T13:30:11,2579,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c20_flywheel_3to4_wall_state_critic,,2026-06-25T13:30:34,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_learning_dataset,2026-06-25T19:36:03,6498,5874,624,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7964743589743589,0.14285714285714285,0.40476190476190477,0.2111801242236025,0.38235294117647056,0.5588235294117647,,,,
20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_pose_ranker_structure,,2026-06-25T19:36:40,2669,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c21_flywheel_3to4_wall_state_critic,,2026-06-25T19:37:01,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
20260625_supportmap_c20_c21_recent_courseweighted_train,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c20_c21_recent_courseweighted_train\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260625_supportmap_c20_c21_recent_courseweighted_train,,2026-06-25T22:08:43,5248,,,35,256,160,,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_learning_dataset,2026-06-26T01:53:01,6498,3810,2688,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7819940476190477,0.08875739644970414,0.26627218934911245,0.13313609467455623,0.10526315789473684,0.2894736842105263,,,,
20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_pose_ranker_structure,,2026-06-26T01:54:05,2734,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c23_flywheel_3to4_wall_state_critic,,2026-06-26T01:54:27,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_learning_dataset,2026-06-26T07:20:42,6498,5184,1314,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.5540334855403348,0.07130730050933787,0.5185185185185185,0.1253731343283582,0.057692307692307696,0.25,,,,
20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_pose_ranker_structure,,2026-06-26T07:21:18,2644,,,70,128,192,,,,,,,,,,,,
20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260622_autonomous_wall_flywheel_master_v2_c24_flywheel_3to4_wall_state_critic,,2026-06-26T07:21:41,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_learning_dataset,2026-06-26T13:44:56,6498,5346,1152,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7664930555555556,0.07627118644067797,0.2608695652173913,0.1180327868852459,0.08333333333333333,0.2777777777777778,,,,
20260626_low_release_wall_master_v1_c03_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_pose_ranker_structure,,2026-06-26T13:45:57,2574,,,70,128,192,,,,,,,,,,,,
20260626_low_release_wall_master_v1_c03_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c03_flywheel_3to4_wall_state_critic,,2026-06-26T13:46:21,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_stone_slot_net\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_stone_slot_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_learning_dataset,2026-06-26T20:01:56,6498,5874,624,80,128,128,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7644230769230769,0.13286713286713286,0.4523809523809524,0.20540540540540542,0.38235294117647056,0.5588235294117647,,,,
20260626_low_release_wall_master_v1_c04_flywheel_3to4_pose_ranker_structure,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_pose_ranker_structure\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_pose_ranker_structure,,2026-06-26T20:02:58,2539,,,70,128,192,,,,,,,,,,,,
20260626_low_release_wall_master_v1_c04_flywheel_3to4_wall_state_critic,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_wall_state_critic\metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_low_release_wall_master_v1_c04_flywheel_3to4_wall_state_critic,,2026-06-26T20:03:15,,,,70,160,192,WallStateCritic V1 predicts post-placement local structure risk from current wall depth and stone geometry.,,,,,,,,,,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_stone_slot_net_v1\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_stone_slot_net_v1,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_dataset_v1,2026-06-26T20:33:01,28075,23233,4842,180,256,160,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.6784386617100372,0.08152866242038216,0.5267489711934157,0.14120242691671264,0.15348837209302327,0.386046511627907,,,,
pose_risk_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_pose_risk_net_v1\pose_risk_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_pose_risk_net_v1,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_policy_replacement_dataset_v1,2026-06-26T20:34:20,141988,112327,29661,160,512,192,PoseRiskNet V1: pre-simulation candidate pose risk penalty for wall stacking.,"Inputs use geometry, target, gravity, and candidate pose only; post-simulation fields are labels only.",0.7189575536900307,0.8988774917747242,0.7483886561392201,0.8167589905917524,,,0.6441586280814576,0.9265809217577706,,
stone_fit_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_wall34_stone_slot_net_v1\stone_fit_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_wall34_stone_slot_net_v1,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_policy_wall34_dataset_v1,2026-06-26T20:56:20,27322,21916,5406,220,256,160,StoneSlotNet V1: score whether a stone geometry fits a target wall slot before pose search.,No candidate_rank or primary-assignment fields are used as input.,0.7358490566037735,0.07574654042243263,0.39543726235741444,0.1271393643031785,0.10309278350515463,0.28350515463917525,,,,
pose_risk_net,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_wall34_pose_risk_net_v1\pose_risk_net_metrics.json,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_wall34_pose_risk_net_v1,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260626_clean_policy_wall34_dataset_v1,2026-06-26T20:58:25,121679,96302,25377,180,512,192,PoseRiskNet V1: pre-simulation candidate pose risk penalty for wall stacking.,"Inputs use geometry, target, gravity, and candidate pose only; post-simulation fields are labels only.",0.7083579619340348,0.8713617767387493,0.7414093192103038,0.8011499502942045,,,0.625075711689885,0.889763779527559,,
