gravity,gravity_m_s2,trial,strategy,target_name,candidate_count,effective_steps_per_rock,effective_hold_steps,rock_count,skipped_slot_count,stable_count,failure_count,success,shape_success,visible_courses,target_rmse_xy_m,target_max_xy_error_m,structure_score,stack_height_m,max_horizontal_drift_m,max_radial_distance_m,wall_x_span_m,wall_y_span_m,wall_aspect_xy,wall_outlier_count,velocity_inf_norm,assignment_gate_used,assignment_probe_steps,moon_gate_strict,candidate_pose_ranker_used,candidate_pose_top_k,stone_fit_ranker_used,stone_fit_top_k,order,xml,state_path,assignment_plan_path,assignment_plan_used,assignment_gate_requested,assignment_fallbacks_requested,assignment_probe_steps_requested,moon_gate_strict_requested,candidate_pose_ranker_dir,candidate_pose_top_k_requested,stone_fit_ranker_dir,stone_fit_top_k_requested,role_screening_path
earth,9.80665,0,statics_wall,single_face_wall_4course_v1,8,420,1800,18,6,15,3,0,0,4,0.1695564594376987,0.5183154398180391,1.1604840196713084,0.19832813084526785,0.003912773474405031,0.41321746726007813,0.7833759259489315,0.42496459019743915,1.843391058970287,2.0,0.07346880519554748,0,0,0,1,3,0,0,122 132 036 026 096 115 112 019 135 004 087 064 079 139 051 118 045 105,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,1,statics_wall,single_face_wall_4course_v1,8,420,1800,12,12,8,4,0,0,4,0.14216765887162713,0.30333141942184605,0.9169559247009824,0.20175866359921685,0.19819411338841617,0.36007713871095204,0.7171195708315832,0.3564215365362934,2.0119984269204254,1.0,2.170336966775986,0,0,0,1,3,0,0,036 132 112 122 096 052 063 135 051 087 102 066,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,2,statics_wall,single_face_wall_4course_v1,8,420,1800,17,7,16,1,0,0,4,0.08472414921225298,0.22578812325204503,1.8007757682281842,0.27479970788526464,0.011264116263867458,0.3796206033021427,0.7422253790675406,0.3138597481576943,2.3648313726888617,1.0,0.2036134343358242,0,0,0,1,3,0,0,012 132 036 026 122 115 135 087 051 019 052 139 063 015 118 004 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_02.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_02.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,3,statics_wall,single_face_wall_4course_v1,8,420,1800,14,10,11,3,0,0,4,0.12790767944604725,0.278161453414901,1.2723318168852082,0.23992546259551514,0.01680753826181491,0.35939824806877146,0.6988023752686534,0.35254451144862714,1.9821677903798058,2.0,0.12720480916440122,0,0,0,1,3,0,0,012 132 112 026 096 115 139 079 003 015 063 087 102 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_03.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_03.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,4,statics_wall,single_face_wall_4course_v1,8,420,1800,18,6,15,3,0,0,4,0.11130687034883993,0.2826415339626466,1.3938750606786987,0.3301193160788816,0.21703195773039363,0.38732525013937136,0.7445927278865143,0.3451330303120205,2.157407905042757,1.0,0.3006734958364425,0,0,0,1,3,0,0,036 132 026 112 012 097 115 139 051 135 079 003 031 064 015 019 129 045,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_04.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_04.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,5,statics_wall,single_face_wall_4course_v1,8,420,1800,17,7,10,7,0,0,4,0.1704468563187322,0.31859765154865577,-0.05430332020651685,0.19178880659975014,0.2848812478963115,0.5077721923380564,0.8251448238696987,0.5649972543953978,1.4604404135603881,5.0,0.07775380938224984,0,0,0,1,3,0,0,086 132 012 112 026 084 115 087 051 004 019 003 135 079 118 129 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_05.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_05.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,6,statics_wall,single_face_wall_4course_v1,8,420,1800,20,4,14,6,0,0,4,0.17137566133168938,0.32853688105095624,0.592014155954762,0.23062579586537296,0.2369724425413906,0.46902798273244684,0.8724285133902165,0.4816016956821273,1.8115146213398043,3.0,0.13764971252327501,0,0,0,1,3,0,0,036 132 026 086 084 112 079 019 115 139 135 015 052 064 063 099 129 034 045 065,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_06.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_06.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
earth,9.80665,7,statics_wall,single_face_wall_4course_v1,8,420,1800,16,8,13,3,0,0,4,0.17537206802951508,0.467798947543153,-0.9405448351042547,0.21808357342339138,0.301515097261133,0.4523291294279716,0.7658979249480806,0.6309183591253357,1.2139414139253641,3.0,11.233753173404908,0,0,0,1,3,0,0,112 132 012 026 086 115 019 079 139 087 003 135 063 004 105 129,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_earth_trial_07.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_earth_trial_07.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
moon,1.624,0,statics_wall,single_face_wall_4course_v1,8,1008,4320,17,7,15,2,1,1,4,0.09181708868936561,0.1960681891680001,2.292736489225018,0.3718155700367519,0.0024972703410341118,0.35705707582196655,0.7087475042039022,0.13000356536047855,5.451754359495155,0.0,0.03320381916578563,0,0,0,1,3,0,0,012 122 026 036 051 139 135 115 112 004 052 087 079 064 105 125 102,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_00.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_00.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
moon,1.624,1,statics_wall,single_face_wall_4course_v1,8,1008,4320,13,11,11,2,0,0,4,0.1259374473144705,0.2776794379507506,1.4527552469253247,0.2762707088308793,0.005398055613615642,0.35635482806448987,0.5949214309654214,0.3670894811756663,1.6206441793430981,1.0,0.02461302432673173,0,0,0,1,3,0,0,012 122 112 096 115 135 139 087 051 052 004 129 045,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_01.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_01.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
moon,1.624,2,statics_wall,single_face_wall_4course_v1,8,1008,4320,14,10,10,4,0,0,4,0.15903155402629965,0.28887671975564994,0.7701020214445973,0.2884861011533719,0.001213672185524925,0.36796234344092293,0.7062281748424721,0.47827889150023106,1.4766032693335598,3.0,0.01682748797167985,0,0,0,1,3,0,0,012 122 112 026 036 051 115 063 004 052 019 129 102 034,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_02.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_02.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
moon,1.624,3,statics_wall,single_face_wall_4course_v1,8,1008,4320,18,6,13,5,0,0,4,0.15222061439385207,0.3034800239546828,0.8018348449918494,0.35207727986566956,0.27713938932401205,0.3890773174901115,0.7500641792738434,0.45709739175713376,1.6409285915863845,2.0,0.025272522660962627,0,0,0,1,3,0,0,112 122 084 026 036 115 052 019 051 004 087 079 063 105 045 125 102 113,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\mjcf\single_face_wall_4course_v1_statics_wall_moon_trial_03.xml,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_highcourse_4course_presim_pose_top3_seed97001_v1\states\single_face_wall_4course_v1_statics_wall_moon_trial_03.npz,,0,0,0,0,0,D:\MoonStack\experiments\moon_rock_stack\batch_runs\20260620_torch_support_map_cnn_lowwall_presim_score_v1,3,,0,
